name, conf, dftE, pm7E, mmffE
CHG_jobs/astex_1j3j, rmsd8-opt, 3289.908742, 168.235780, -49.078494
CHG_jobs/astex_1j3j, rmsd9-mmff, nan, 178.384870, -52.983377
CHG_jobs/astex_1j3j, rmsd9-pm7, 3284.663579, 168.210260, -49.082864
CHG_jobs/astex_1j3j, rmsd9-opt, 3289.918629, 168.210290, -49.078988
CHG_jobs/astex_1jd0, rmsd12-mmff, nan, -87.030020, 7344.837609
CHG_jobs/astex_1jd0, rmsd12-pm7, 1770.723059, -109.574350, 168.156768
CHG_jobs/astex_1jd0, rmsd12-opt, 1812.843316, -109.574340, 168.165498
CHG_jobs/astex_1jd0, rmsd18-mmff, nan, -89.391410, 7292.751793
CHG_jobs/astex_1jd0, rmsd18-pm7, 1770.653099, -109.573050, 168.171136
CHG_jobs/astex_1jd0, rmsd18-opt, 1810.788150, -109.573000, 168.206351
CHG_jobs/astex_1jd0, rmsd19-mmff, nan, -86.970890, 7958.821300
CHG_jobs/astex_1jd0, rmsd19-pm7, 1770.697198, -109.574950, 168.114422
CHG_jobs/astex_1jd0, rmsd19-opt, 1811.433670, -109.574880, 168.135677
CHG_jobs/astex_1jd0, rmsd22-mmff, nan, -89.389900, 7322.515466
CHG_jobs/astex_1jd0, rmsd22-pm7, 1770.778131, -109.564530, 168.334140
CHG_jobs/astex_1jd0, rmsd22-opt, 1811.769393, -109.564470, 168.376363
CHG_jobs/astex_1jd0, rmsd3-mmff, nan, -89.390370, 7317.049595
CHG_jobs/astex_1jd0, rmsd3-pm7, 1770.679494, -109.574330, 168.108674
CHG_jobs/astex_1jd0, rmsd3-opt, 1810.597191, -109.574320, 168.147124
CHG_jobs/astex_1jd0, rmsd44-mmff, nan, -89.388640, 7347.347700
CHG_jobs/astex_1jd0, rmsd44-pm7, 1770.703518, -109.573190, 168.181472
CHG_jobs/astex_1jd0, rmsd44-opt, 1811.281250, -109.573140, 168.229451
CHG_jobs/astex_1jd0, rmsd47-mmff, nan, -89.388470, 7335.895152
CHG_jobs/astex_1jd0, rmsd47-pm7, 1770.520684, -109.548030, 167.968084
CHG_jobs/astex_1jd0, rmsd47-opt, 1806.736744, -109.547970, 167.934245
CHG_jobs/astex_1jd0, rmsd54-mmff, nan, -89.376160, 7502.166003
CHG_jobs/astex_1jd0, rmsd54-pm7, 1770.683799, -109.543310, 168.220172
CHG_jobs/astex_1jd0, rmsd54-opt, 1803.638697, -109.543330, 168.173016
CHG_jobs/astex_1jd0, rmsd56-mmff, nan, -89.371870, 7563.507907
CHG_jobs/astex_1jd0, rmsd56-pm7, 1770.694825, -109.574380, 168.078362
CHG_jobs/astex_1jd0, rmsd56-opt, 1810.650623, -109.574340, 168.088500
CHG_jobs/astex_1jd0, rmsd9-mmff, nan, -87.029850, 7355.765290
CHG_jobs/astex_1jd0, rmsd9-pm7, 1770.695435, -109.574510, 168.194330
CHG_jobs/astex_1jd0, rmsd9-opt, 1809.866636, -109.574520, 168.170626
CHG_jobs/astex_1l7f, rmsd103-mmff, nan, -81.682110, -194.079958
CHG_jobs/astex_1l7f, rmsd103-pm7, 5150.031967, -92.002840, -200.068553
CHG_jobs/astex_1l7f, rmsd103-opt, 5160.720276, -92.002830, -200.056425
CHG_jobs/astex_1l7f, rmsd124-mmff, nan, -85.825030, -209.561620
CHG_jobs/astex_1l7f, rmsd124-pm7, 5142.362121, -89.773820, -196.641782
CHG_jobs/astex_1l7f, rmsd124-opt, 5157.390419, -89.773740, -196.646348
CHG_jobs/astex_1l7f, rmsd15-mmff, nan, -62.338060, -167.028932
CHG_jobs/astex_1l7f, rmsd15-pm7, 5132.369077, -88.842870, -186.746542
CHG_jobs/astex_1l7f, rmsd15-opt, 5148.878085, -88.842780, -186.754259
CHG_jobs/astex_1l7f, rmsd171-mmff, nan, -83.619820, -205.050728
CHG_jobs/astex_1l7f, rmsd171-pm7, 5145.647194, -89.956900, -199.256731
CHG_jobs/astex_1l7f, rmsd171-opt, 5154.514838, -89.956850, -199.259711
CHG_jobs/astex_1l7f, rmsd197-mmff, nan, -84.387310, -195.685416
CHG_jobs/astex_1l7f, rmsd197-pm7, 5149.801079, -92.606110, -201.730093
CHG_jobs/astex_1l7f, rmsd197-opt, 5160.194157, -92.605990, -201.735212
CHG_jobs/astex_1l7f, rmsd215-mmff, nan, -84.547370, -196.068521
CHG_jobs/astex_1l7f, rmsd215-pm7, 5149.803184, -92.610600, -201.787455
CHG_jobs/astex_1l7f, rmsd215-opt, 5160.170767, -92.610520, -201.791000
CHG_jobs/astex_1l7f, rmsd246-mmff, nan, -85.221240, -196.507542
CHG_jobs/astex_1l7f, rmsd246-pm7, 5149.758585, -93.351960, -199.055591
CHG_jobs/astex_1l7f, rmsd246-opt, 5159.933809, -93.351900, -199.042698
CHG_jobs/astex_1l7f, rmsd76-mmff, nan, -77.560120, -192.364260
CHG_jobs/astex_1l7f, rmsd76-pm7, 5143.630111, -90.358140, -196.958874
CHG_jobs/astex_1l7f, rmsd76-opt, 5158.276080, -90.358140, -196.964222
CHG_jobs/astex_1l7f, rmsd82-mmff, nan, -73.831500, -189.793475
CHG_jobs/astex_1l7f, rmsd82-pm7, 5151.464027, -93.869620, -202.558133
CHG_jobs/astex_1l7f, rmsd82-opt, 5161.826657, -93.869680, -202.561647
CHG_jobs/astex_1l7f, rmsd97-mmff, nan, -85.718970, -208.356753
CHG_jobs/astex_1l7f, rmsd97-pm7, 5145.169657, -90.512720, -202.125673
CHG_jobs/astex_1l7f, rmsd97-opt, 5156.549641, -90.513040, -202.123255
CHG_jobs/astex_1lpz, rmsd11-mmff, nan, 160.374630, -5.229061
CHG_jobs/astex_1lpz, rmsd11-pm7, 6206.555183, 145.546860, 2.833336
CHG_jobs/astex_1lpz, rmsd11-opt, 6216.321877, 145.547060, 2.756101
CHG_jobs/astex_1lpz, rmsd111-mmff, nan, 159.689030, -0.362238
CHG_jobs/astex_1lpz, rmsd111-pm7, 6206.597673, 145.548230, 3.454950
CHG_jobs/astex_1lpz, rmsd111-opt, 6216.717112, 145.548430, 3.449630
CHG_jobs/astex_1lpz, rmsd112-mmff, nan, 165.739590, 1.388652
CHG_jobs/astex_1lpz, rmsd112-pm7, 6206.690200, 145.559830, 3.369035
CHG_jobs/astex_1lpz, rmsd112-opt, 6216.474362, 145.559720, 3.352395
CHG_jobs/astex_1lpz, rmsd119-mmff, nan, 154.534710, -6.207803
CHG_jobs/astex_1lpz, rmsd119-pm7, 6205.895064, 145.610180, 3.067001
CHG_jobs/astex_1lpz, rmsd119-opt, 6215.783772, 145.610490, 3.035228
CHG_jobs/astex_1lpz, rmsd120-mmff, nan, 150.897210, -6.469788
CHG_jobs/astex_1lpz, rmsd120-pm7, 6206.507394, 145.575670, 2.257405
CHG_jobs/astex_1lpz, rmsd120-opt, 6216.367175, 145.575690, 2.246263
CHG_jobs/astex_1lpz, rmsd122-mmff, nan, 155.572510, -6.659042
CHG_jobs/astex_1lpz, rmsd122-pm7, 6206.249568, 145.583460, 2.715002
CHG_jobs/astex_1lpz, rmsd122-opt, 6214.903463, 145.583720, 2.700294
CHG_jobs/astex_1lpz, rmsd200-mmff, nan, 166.270410, 4.198134
CHG_jobs/astex_1lpz, rmsd200-pm7, 6206.590073, 145.559890, 3.485780
CHG_jobs/astex_1lpz, rmsd200-opt, 6216.549685, 145.560140, 3.506378
CHG_jobs/astex_1lpz, rmsd204-mmff, nan, 172.119510, 0.646332
CHG_jobs/astex_1lpz, rmsd204-pm7, 6206.649793, 145.580040, 3.459713
CHG_jobs/astex_1lpz, rmsd204-opt, 6216.548403, 145.580240, 3.455841
CHG_jobs/astex_1lpz, rmsd221-mmff, nan, 174.627010, 9.504961
CHG_jobs/astex_1lpz, rmsd221-pm7, 6206.445218, 145.595510, 2.708466
CHG_jobs/astex_1lpz, rmsd221-opt, 6216.393036, 145.595720, 2.685361
CHG_jobs/astex_1lpz, rmsd242-mmff, nan, 167.820690, 0.604641
CHG_jobs/astex_1lpz, rmsd242-pm7, 6205.971119, 145.605890, 2.879007
CHG_jobs/astex_1lpz, rmsd242-opt, 6216.063024, 145.606140, 2.818929
CHG_jobs/astex_1mmv, rmsd113-mmff, nan, 244.323390, -94.450819
CHG_jobs/astex_1mmv, rmsd113-pm7, 3247.007034, 236.156850, -97.551440
CHG_jobs/astex_1mmv, rmsd113-opt, 3253.480892, 236.157050, -97.550425
CHG_jobs/astex_1mmv, rmsd137-mmff, nan, 242.781440, -93.456563
CHG_jobs/astex_1mmv, rmsd137-pm7, 3248.313718, 236.110460, -96.774559
CHG_jobs/astex_1mmv, rmsd137-opt, 3255.485536, 236.110510, -96.778120
CHG_jobs/astex_1mmv, rmsd138-mmff, nan, 239.442680, -99.531725
CHG_jobs/astex_1mmv, rmsd138-pm7, 3248.013200, 235.727510, -95.160921
CHG_jobs/astex_1mmv, rmsd138-opt, 3254.584709, 235.727590, -95.170728
CHG_jobs/astex_1mmv, rmsd146-mmff, nan, 241.642660, -99.526368
CHG_jobs/astex_1mmv, rmsd146-pm7, 3246.643643, 240.406240, -94.250379
CHG_jobs/astex_1mmv, rmsd146-opt, 3253.166768, 240.406420, -94.256142
CHG_jobs/astex_1mmv, rmsd15-mmff, nan, 245.616790, -93.548725
CHG_jobs/astex_1mmv, rmsd15-pm7, 3247.991436, 236.429290, -96.090018
CHG_jobs/astex_1mmv, rmsd15-opt, 3255.283638, 236.429300, -96.097438
CHG_jobs/astex_1mmv, rmsd172-mmff, nan, 245.866440, -93.872865
CHG_jobs/astex_1mmv, rmsd172-pm7, 3248.463465, 235.880260, -96.595515
CHG_jobs/astex_1mmv, rmsd172-opt, 3255.205518, 235.880310, -96.595882
CHG_jobs/astex_1mmv, rmsd22-mmff, nan, 240.140410, -99.640686
CHG_jobs/astex_1mmv, rmsd22-pm7, 3248.410358, 235.962090, -96.627431
CHG_jobs/astex_1mmv, rmsd22-opt, 3255.025854, 235.961920, -96.629309
CHG_jobs/astex_1mmv, rmsd44-mmff, nan, 245.724570, -92.987062
CHG_jobs/astex_1mmv, rmsd44-pm7, 3248.134465, 235.747650, -94.497219
CHG_jobs/astex_1mmv, rmsd44-opt, 3255.973878, 235.747540, -94.499345
CHG_jobs/astex_1mmv, rmsd50-mmff, nan, 245.073080, -93.785721
CHG_jobs/astex_1mmv, rmsd50-pm7, 3247.802168, 235.904060, -93.156363
CHG_jobs/astex_1mmv, rmsd50-opt, 3255.694700, 235.904220, -93.155594
CHG_jobs/astex_1mmv, rmsd91-mmff, nan, 249.054130, -87.838733
CHG_jobs/astex_1mmv, rmsd91-pm7, 3248.039266, 236.269470, -96.739138
CHG_jobs/astex_1mmv, rmsd91-opt, 3255.456042, 236.269310, -96.739782
CHG_jobs/astex_1mzc, rmsd10-mmff, nan, 168.775900, 115.962528
CHG_jobs/astex_1mzc, rmsd10-pm7, 7484.524126, 133.088010, 84.892564
CHG_jobs/astex_1mzc, rmsd10-opt, 7496.756055, 133.088240, 84.884663
CHG_jobs/astex_1mzc, rmsd118-mmff, nan, 151.574500, 94.226804
CHG_jobs/astex_1mzc, rmsd118-pm7, 7490.342922, 130.265570, 82.325125
CHG_jobs/astex_1mzc, rmsd118-opt, 7499.878817, 130.265610, 82.321022
CHG_jobs/astex_1mzc, rmsd14-mmff, nan, 163.885830, 106.784719
CHG_jobs/astex_1mzc, rmsd14-pm7, 7489.792918, 131.280940, 90.722058
CHG_jobs/astex_1mzc, rmsd14-opt, 7499.393272, 131.281220, 90.741811
CHG_jobs/astex_1mzc, rmsd145-mmff, nan, 161.481570, 106.296772
CHG_jobs/astex_1mzc, rmsd145-pm7, 7491.699436, 130.032550, 85.290726
CHG_jobs/astex_1mzc, rmsd145-opt, 7502.159147, 130.033250, 85.313558
CHG_jobs/astex_1mzc, rmsd152-mmff, nan, 151.031050, 103.389612
CHG_jobs/astex_1mzc, rmsd152-pm7, 7489.036727, 131.795260, 90.390556
CHG_jobs/astex_1mzc, rmsd152-opt, 7499.322133, 131.795820, 90.381307
CHG_jobs/astex_1mzc, rmsd201-mmff, nan, 156.074440, 99.593935
CHG_jobs/astex_1mzc, rmsd201-pm7, 7493.489185, 131.206150, 80.765834
CHG_jobs/astex_1mzc, rmsd201-opt, 7502.018192, 131.206740, 80.764332
CHG_jobs/astex_1mzc, rmsd202-mmff, nan, 161.149460, 103.391056
CHG_jobs/astex_1mzc, rmsd202-pm7, 7483.423034, 133.900390, 91.211935
CHG_jobs/astex_1mzc, rmsd202-opt, 7496.563044, 133.900350, 91.227496
CHG_jobs/astex_1mzc, rmsd22-mmff, nan, 135.610930, 87.413463
CHG_jobs/astex_1mzc, rmsd22-pm7, 7489.427856, 131.071890, 90.732766
CHG_jobs/astex_1mzc, rmsd22-opt, 7499.964948, 131.072730, 90.701728
CHG_jobs/astex_1mzc, rmsd221-mmff, nan, 157.568730, 99.481833
CHG_jobs/astex_1mzc, rmsd221-pm7, 7493.311398, 131.231360, 81.028701
CHG_jobs/astex_1mzc, rmsd221-opt, 7502.022699, 131.231470, 81.032457
CHG_jobs/astex_1mzc, rmsd250-mmff, nan, 161.049940, 103.782200
CHG_jobs/astex_1mzc, rmsd250-pm7, 7493.341873, 131.267580, 81.038126
CHG_jobs/astex_1mzc, rmsd250-opt, 7502.072759, 131.267950, 81.024041
CHG_jobs/astex_1n1m, rmsd13-mmff, nan, 78.309750, 28.967120
CHG_jobs/astex_1n1m, rmsd13-pm7, 2915.105705, 76.304190, 32.545632
CHG_jobs/astex_1n1m, rmsd13-opt, 2920.911134, 76.304280, 32.544695
CHG_jobs/astex_1n1m, rmsd20-mmff, nan, 87.032730, 37.029446
CHG_jobs/astex_1n1m, rmsd20-pm7, 2915.000962, 76.268060, 32.593633
CHG_jobs/astex_1n1m, rmsd20-opt, 2920.851973, 76.268050, 32.598801
CHG_jobs/astex_1n1m, rmsd29-mmff, nan, 78.265730, 29.024397
CHG_jobs/astex_1n1m, rmsd29-pm7, 2912.418587, 76.648790, 34.407526
CHG_jobs/astex_1n1m, rmsd29-opt, 2920.960668, 76.648940, 34.407237
CHG_jobs/astex_1n1m, rmsd34-mmff, nan, 78.311510, 28.962342
CHG_jobs/astex_1n1m, rmsd34-pm7, 2912.987351, 76.581480, 33.442150
CHG_jobs/astex_1n1m, rmsd34-opt, 2920.538334, 76.581800, 33.448623
CHG_jobs/astex_1n1m, rmsd37-mmff, nan, 78.328960, 29.058503
CHG_jobs/astex_1n1m, rmsd37-pm7, 2914.521884, 76.288730, 32.742090
CHG_jobs/astex_1n1m, rmsd37-opt, 2920.873533, 76.288680, 32.741377
CHG_jobs/astex_1n1m, rmsd38-mmff, nan, 78.346700, 28.968371
CHG_jobs/astex_1n1m, rmsd38-pm7, 2914.561119, 76.329530, 33.001428
CHG_jobs/astex_1n1m, rmsd38-opt, 2920.889319, 76.329600, 33.001964
CHG_jobs/astex_1n1m, rmsd39-mmff, nan, 87.044120, 37.045468
CHG_jobs/astex_1n1m, rmsd39-pm7, 2915.018323, 76.284520, 32.867418
CHG_jobs/astex_1n1m, rmsd39-opt, 2920.852038, 76.284640, 32.869657
CHG_jobs/astex_1n1m, rmsd40-mmff, nan, 86.943610, 36.971811
CHG_jobs/astex_1n1m, rmsd40-pm7, 2914.828271, 76.316230, 33.005999
CHG_jobs/astex_1n1m, rmsd40-opt, 2920.909261, 76.316200, 32.999620
CHG_jobs/astex_1n1m, rmsd42-mmff, nan, 78.331930, 9.189419
CHG_jobs/astex_1n1m, rmsd42-pm7, 2915.075459, 76.328200, 25.524410
CHG_jobs/astex_1n1m, rmsd42-opt, 2921.271807, 76.328380, 12.950974
